title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,Production Cost,release_year
Sam & Max  Season Two,PC,Adventure,Amazon Game Studios,5,9,7,225,7.8,7.35,5.18,6.75,27.08,5.06,2009
The King of Fighters Collection  The Orochi Saga,PSN,Fighting,Activision,3,10,10,203,7.28,7.6,5.76,6.27,26.91,4.35,2009
Fireburst,PSN,Racing,Electronic Arts,10,6,9,175,7.38,6.5,5.87,6.84,26.59,6.8,2019
GTR  FIA GT Racing Game,PC,Racing,Amazon Game Studios,10,1,10,88,3,3.1,1.95,6.43,11.49,5.87,2005
Columns III,PC,Puzzle,Electronic Arts,6,1,2,296,6.77,7.96,5.43,6.23,26.39,6.75,2010
The Secrets of Atlantis  The Sacred Legacy,PC,Adventure,Omega,3,1,1,3,7.69,7.92,5.38,5.17,26.16,6.27,2007
Killzone 2  Napalm & Cordite Pack,PSN,Shooter,IBM,6,7,1,279,7.95,7.96,5.89,4.31,26.11,6.94,2009
Eternal Champions,PC,Fighting,Omega,6,6,9,227,7.05,7.05,4.97,6.79,25.86,5.77,2010
Bee Simulator,PS4,Simulation,Activision,8,3,5,272,7.96,7.67,4,6.06,25.69,5.65,2019
Lemon  Kageetei no Nostalgia,PC,Adventure,Amazon Game Studios,6,1,4,160,5.9,4.6,4.01,1.36,15.87,6.72,2000
echochrome ii,PS3,Puzzle,Activision,8,10,8,96,7.29,7.79,5.33,5.25,25.66,6.01,2010
Bratz 4 Real,PC,Adventure,Omega,10,7,7,149,7.95,5.83,5.51,6.35,25.64,6.94,2007
Star Wars  Dark Forces,PSN,Shooter,IBM,9,6,8,162,5.36,7.89,5.87,6.22,25.34,3.08,2010
Call of Duty  Black Ops II,PS3,Shooter,Activision,8,9,7,173,13.8,4.99,0.65,5.88,25.32,4.47,2012
Space Rangers,PC,Simulation,Omega,6,9,3,248,7.47,1.4,3.68,4.72,17.27,4.07,2002
High On Racing,PC,Racing,Sony Computer Entertainment,6,3,8,0.16,7.79,6.86,5.56,5,25.21,6.43,2011
FlatOut 2,PC,Racing,Sony Computer Entertainment,4,1,7,274,7.65,7.49,4.91,5.14,25.19,4.89,2006
Bomberman Ultra  Battlefest,PSN,Puzzle,Omega,6,4,2,285,7.16,6.76,4.75,6.46,25.13,4.82,2007
Zup  2,PC,Puzzle,Electronic Arts,10,4,1,0.15,5.05,7.42,5.88,6.77,25.12,6.84,2017
Hector  Badge of Carnage   Episode 2  Senseless Acts of Justice,PC,Adventure,Amazon Game Studios,10,5,3,83,7.63,6.05,5.11,6.31,25.1,5.11,2011
Zathura,PS2,Adventure,Frontier Developments,7,10,2,273,3,0.06,4.14,0.05,4.37,6.14,2005
The Makers Eden,Linux,Adventure,Frontier Developments,6,10,5,195,7.87,7.35,4.25,5.55,25.02,5.46,2014
Pure Holdem World Poker Championship,PS4,Simulation,Ubisoft,9,9,5,134,8,7.55,3.15,6.11,24.81,5.46,2012
Call of Juarez  Gunslinger,PC,Shooter,Ubisoft,10,5,2,156,7.81,6.53,4.61,5.77,24.72,3.21,2013
Guilty Gear,PSN,Fighting,Ubisoft,6,2,7,145,6.75,7.96,4.64,5.35,24.7,5.41,2010
Ford Racing 3,PC,Racing,Frontier Developments,7,2,9,110,7.47,4.45,5.54,6.54,24,4.74,2005
Motocross Mania 3,PS2,Racing,Frontier Developments,7,10,10,248,3,0.05,2.54,0.04,2.73,4.3,2005
Ford Racing 3,PS2,Racing,Frontier Developments,3,8,8,93,3,0.13,4.53,0.1,5.02,6.6,2005
Ford Mustang  The Legend Lives,PS2,Racing,Frontier Developments,9,10,1,165,3,0.14,1.72,0.11,2.26,5.21,2005
Vietcong 2,PC,Shooter,Frontier Developments,5,5,8,146,1.06,4.49,5.31,5.79,16.65,6.85,2005
The Club,PC,Shooter,Activision,6,6,2,178,7.3,7.17,4.22,5.96,24.65,4.84,2008
