title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,Production Cost,release_year
357.0,5.0,0.0,7.0,35.0,38.0,10.0,101.0,426.0,372.0,330.0,90.0,135.0,11.0
853.0,2.0,4.0,3.0,23.0,48.0,5.0,307.0,198.0,358.0,207.0,0.0,1.0,17.0
2803.0,4.0,4.0,5.0,0.0,18.0,10.0,327.0,205.0,207.0,476.0,96.0,252.0,4.0
349.0,2.0,3.0,1.0,35.0,18.0,2.0,186.0,198.0,427.0,375.0,1.0,211.0,6.0
2221.0,2.0,7.0,3.0,35.0,38.0,2.0,143.0,209.0,173.0,386.0,612.0,473.0,13.0
1151.0,2.0,6.0,2.0,35.0,58.0,0.0,371.0,107.0,613.0,226.0,272.0,90.0,15.0
459.0,4.0,2.0,2.0,1.0,65.0,15.0,307.0,396.0,333.0,238.0,591.0,302.0,3.0
3274.0,4.0,0.0,7.0,7.0,38.0,8.0,178.0,361.0,207.0,459.0,388.0,563.0,4.0
3252.0,8.0,3.0,0.0,35.0,3.0,1.0,72.0,69.0,572.0,477.0,442.0,181.0,10.0
1392.0,0.0,0.0,5.0,2.0,6.0,3.0,284.0,198.0,27.0,177.0,45.0,1.0,7.0
2839.0,0.0,3.0,0.0,7.0,18.0,4.0,131.0,198.0,9.0,525.0,0.0,319.0,8.0
1630.0,4.0,7.0,3.0,9.0,38.0,1.0,369.0,380.0,129.0,188.0,412.0,196.0,4.0
3723.0,2.0,0.0,3.0,35.0,48.0,6.0,143.0,339.0,434.0,388.0,137.0,385.0,7.0
1374.0,5.0,7.0,0.0,32.0,6.0,0.0,299.0,198.0,400.0,150.0,2.0,483.0,15.0
3179.0,2.0,5.0,5.0,1.0,48.0,4.0,169.0,378.0,285.0,459.0,402.0,269.0,5.0
2945.0,4.0,5.0,6.0,23.0,0.0,8.0,207.0,268.0,689.0,436.0,663.0,550.0,6.0
3595.0,2.0,7.0,2.0,32.0,3.0,1.0,232.0,230.0,307.0,322.0,271.0,211.0,3.0
3862.0,2.0,7.0,1.0,35.0,65.0,3.0,68.0,543.0,394.0,554.0,582.0,499.0,12.0
211.0,8.0,6.0,2.0,0.0,58.0,21.0,196.0,599.0,634.0,480.0,435.0,544.0,7.0
1127.0,8.0,7.0,3.0,35.0,50.0,4.0,276.0,193.0,350.0,217.0,643.0,559.0,11.0
1830.0,0.0,6.0,2.0,35.0,3.0,8.0,112.0,198.0,33.0,71.0,19.0,418.0,8.0
614.0,8.0,3.0,2.0,23.0,44.0,6.0,310.0,174.0,596.0,83.0,233.0,316.0,11.0
922.0,4.0,2.0,1.0,9.0,6.0,15.0,51.0,525.0,446.0,114.0,323.0,66.0,6.0
76.0,8.0,6.0,3.0,9.0,37.0,21.0,251.0,57.0,403.0,525.0,349.0,135.0,10.0
209.0,5.0,0.0,7.0,2.0,58.0,8.0,154.0,198.0,416.0,3.0,267.0,238.0,8.0
297.0,0.0,2.0,3.0,2.0,38.0,8.0,336.0,499.0,417.0,192.0,470.0,365.0,7.0
1606.0,3.0,6.0,1.0,23.0,18.0,8.0,273.0,82.0,285.0,489.0,616.0,588.0,0.0
797.0,2.0,0.0,6.0,35.0,28.0,10.0,178.0,574.0,198.0,140.0,333.0,83.0,7.0
348.0,8.0,3.0,6.0,2.0,28.0,0.0,134.0,332.0,657.0,248.0,235.0,473.0,9.0
1369.0,2.0,0.0,6.0,35.0,0.0,8.0,317.0,198.0,345.0,279.0,2.0,88.0,11.0
1921.0,2.0,7.0,2.0,35.0,6.0,1.0,184.0,325.0,317.0,549.0,410.0,16.0,1.0
3831.0,4.0,6.0,1.0,9.0,6.0,3.0,264.0,198.0,0.0,236.0,0.0,347.0,6.0
2100.0,0.0,4.0,5.0,3.0,6.0,6.0,296.0,198.0,6.0,497.0,533.0,452.0,5.0
867.0,0.0,3.0,1.0,0.0,0.0,1.0,309.0,198.0,12.0,361.0,638.0,171.0,9.0
3288.0,4.0,4.0,5.0,2.0,3.0,21.0,190.0,198.0,3.0,383.0,2.0,267.0,6.0
2074.0,4.0,6.0,0.0,32.0,38.0,1.0,101.0,198.0,390.0,21.0,227.0,357.0,3.0
3295.0,2.0,0.0,5.0,9.0,0.0,15.0,167.0,198.0,119.0,102.0,1.0,135.0,10.0
612.0,2.0,0.0,6.0,7.0,18.0,15.0,332.0,211.0,158.0,265.0,634.0,107.0,1.0
2594.0,8.0,3.0,1.0,2.0,18.0,2.0,53.0,438.0,132.0,446.0,603.0,462.0,9.0
277.0,8.0,0.0,2.0,14.0,11.0,0.0,164.0,188.0,513.0,71.0,138.0,262.0,11.0
126.0,2.0,5.0,0.0,9.0,36.0,15.0,304.0,590.0,468.0,86.0,123.0,16.0,10.0
3302.0,4.0,0.0,7.0,3.0,11.0,1.0,108.0,367.0,223.0,301.0,569.0,263.0,3.0
1022.0,2.0,7.0,6.0,7.0,38.0,2.0,163.0,521.0,374.0,378.0,611.0,466.0,1.0
2581.0,2.0,5.0,2.0,9.0,48.0,21.0,181.0,198.0,274.0,197.0,1.0,408.0,14.0
1184.0,0.0,3.0,0.0,23.0,6.0,8.0,301.0,198.0,28.0,529.0,603.0,0.0,9.0
1690.0,8.0,3.0,7.0,14.0,3.0,3.0,153.0,444.0,175.0,422.0,293.0,38.0,11.0
431.0,2.0,6.0,2.0,2.0,48.0,2.0,237.0,571.0,693.0,458.0,488.0,576.0,9.0
1981.0,5.0,5.0,2.0,35.0,28.0,4.0,300.0,21.0,24.0,2.0,64.0,475.0,7.0
2233.0,3.0,7.0,2.0,3.0,6.0,0.0,89.0,198.0,11.0,454.0,7.0,0.0,0.0
2748.0,4.0,5.0,1.0,2.0,48.0,2.0,191.0,24.0,81.0,21.0,2.0,145.0,5.0
241.0,4.0,2.0,4.0,1.0,48.0,10.0,171.0,198.0,235.0,0.0,661.0,50.0,2.0
3869.0,4.0,4.0,2.0,35.0,0.0,3.0,289.0,198.0,11.0,391.0,9.0,480.0,2.0
3813.0,4.0,4.0,2.0,3.0,18.0,4.0,142.0,354.0,117.0,353.0,476.0,53.0,1.0
1153.0,2.0,6.0,7.0,3.0,18.0,6.0,112.0,632.0,341.0,440.0,564.0,0.0,2.0
3673.0,0.0,7.0,4.0,32.0,11.0,2.0,323.0,198.0,10.0,3.0,331.0,305.0,6.0
2929.0,4.0,6.0,1.0,23.0,0.0,0.0,239.0,382.0,261.0,297.0,639.0,111.0,3.0
2521.0,0.0,6.0,7.0,14.0,28.0,15.0,225.0,198.0,4.0,500.0,465.0,339.0,11.0
