european_sales,north_american_sales,aisan_sales,japan_sales,genre,release_year,platform,vg_score,total_shipped,Production Cost
90.0,372.0,426.0,330.0,0.0,11.0,5.0,35.0,101.0,135.0
0.0,358.0,198.0,207.0,4.0,17.0,2.0,23.0,307.0,1.0
96.0,207.0,205.0,476.0,4.0,4.0,4.0,0.0,327.0,252.0
1.0,427.0,198.0,375.0,3.0,6.0,2.0,35.0,186.0,211.0
612.0,173.0,209.0,386.0,7.0,13.0,2.0,35.0,143.0,473.0
272.0,613.0,107.0,226.0,6.0,15.0,2.0,35.0,371.0,90.0
591.0,333.0,396.0,238.0,2.0,3.0,4.0,1.0,307.0,302.0
388.0,207.0,361.0,459.0,0.0,4.0,4.0,7.0,178.0,563.0
442.0,572.0,69.0,477.0,3.0,10.0,8.0,35.0,72.0,181.0
45.0,27.0,198.0,177.0,0.0,7.0,0.0,2.0,284.0,1.0
0.0,9.0,198.0,525.0,3.0,8.0,0.0,7.0,131.0,319.0
412.0,129.0,380.0,188.0,7.0,4.0,4.0,9.0,369.0,196.0
137.0,434.0,339.0,388.0,0.0,7.0,2.0,35.0,143.0,385.0
2.0,400.0,198.0,150.0,7.0,15.0,5.0,32.0,299.0,483.0
402.0,285.0,378.0,459.0,5.0,5.0,2.0,1.0,169.0,269.0
663.0,689.0,268.0,436.0,5.0,6.0,4.0,23.0,207.0,550.0
271.0,307.0,230.0,322.0,7.0,3.0,2.0,32.0,232.0,211.0
582.0,394.0,543.0,554.0,7.0,12.0,2.0,35.0,68.0,499.0
435.0,634.0,599.0,480.0,6.0,7.0,8.0,0.0,196.0,544.0
643.0,350.0,193.0,217.0,7.0,11.0,8.0,35.0,276.0,559.0
19.0,33.0,198.0,71.0,6.0,8.0,0.0,35.0,112.0,418.0
233.0,596.0,174.0,83.0,3.0,11.0,8.0,23.0,310.0,316.0
323.0,446.0,525.0,114.0,2.0,6.0,4.0,9.0,51.0,66.0
349.0,403.0,57.0,525.0,6.0,10.0,8.0,9.0,251.0,135.0
267.0,416.0,198.0,3.0,0.0,8.0,5.0,2.0,154.0,238.0
470.0,417.0,499.0,192.0,2.0,7.0,0.0,2.0,336.0,365.0
616.0,285.0,82.0,489.0,6.0,0.0,3.0,23.0,273.0,588.0
333.0,198.0,574.0,140.0,0.0,7.0,2.0,35.0,178.0,83.0
235.0,657.0,332.0,248.0,3.0,9.0,8.0,2.0,134.0,473.0
2.0,345.0,198.0,279.0,0.0,11.0,2.0,35.0,317.0,88.0
410.0,317.0,325.0,549.0,7.0,1.0,2.0,35.0,184.0,16.0
0.0,0.0,198.0,236.0,6.0,6.0,4.0,9.0,264.0,347.0
533.0,6.0,198.0,497.0,4.0,5.0,0.0,3.0,296.0,452.0
638.0,12.0,198.0,361.0,3.0,9.0,0.0,0.0,309.0,171.0
2.0,3.0,198.0,383.0,4.0,6.0,4.0,2.0,190.0,267.0
227.0,390.0,198.0,21.0,6.0,3.0,4.0,32.0,101.0,357.0
1.0,119.0,198.0,102.0,0.0,10.0,2.0,9.0,167.0,135.0
634.0,158.0,211.0,265.0,0.0,1.0,2.0,7.0,332.0,107.0
603.0,132.0,438.0,446.0,3.0,9.0,8.0,2.0,53.0,462.0
138.0,513.0,188.0,71.0,0.0,11.0,8.0,14.0,164.0,262.0
123.0,468.0,590.0,86.0,5.0,10.0,2.0,9.0,304.0,16.0
569.0,223.0,367.0,301.0,0.0,3.0,4.0,3.0,108.0,263.0
611.0,374.0,521.0,378.0,7.0,1.0,2.0,7.0,163.0,466.0
1.0,274.0,198.0,197.0,5.0,14.0,2.0,9.0,181.0,408.0
603.0,28.0,198.0,529.0,3.0,9.0,0.0,23.0,301.0,0.0
293.0,175.0,444.0,422.0,3.0,11.0,8.0,14.0,153.0,38.0
488.0,693.0,571.0,458.0,6.0,9.0,2.0,2.0,237.0,576.0
64.0,24.0,21.0,2.0,5.0,7.0,5.0,35.0,300.0,475.0
7.0,11.0,198.0,454.0,7.0,0.0,3.0,3.0,89.0,0.0
2.0,81.0,24.0,21.0,5.0,5.0,4.0,2.0,191.0,145.0
661.0,235.0,198.0,0.0,2.0,2.0,4.0,1.0,171.0,50.0
9.0,11.0,198.0,391.0,4.0,2.0,4.0,35.0,289.0,480.0
476.0,117.0,354.0,353.0,4.0,1.0,4.0,3.0,142.0,53.0
564.0,341.0,632.0,440.0,6.0,2.0,2.0,3.0,112.0,0.0
331.0,10.0,198.0,3.0,7.0,6.0,0.0,32.0,323.0,305.0
639.0,261.0,382.0,297.0,6.0,3.0,4.0,23.0,239.0,111.0
465.0,4.0,198.0,500.0,6.0,11.0,0.0,14.0,225.0,339.0
530.0,561.0,140.0,268.0,3.0,6.0,4.0,0.0,314.0,32.0
230.0,204.0,581.0,400.0,3.0,3.0,3.0,32.0,269.0,140.0
326.0,383.0,396.0,69.0,2.0,7.0,2.0,1.0,98.0,501.0
123.0,245.0,611.0,386.0,6.0,19.0,2.0,32.0,73.0,162.0
605.0,364.0,444.0,237.0,0.0,6.0,2.0,32.0,350.0,490.0
226.0,253.0,584.0,416.0,6.0,4.0,2.0,9.0,40.0,74.0
548.0,398.0,11.0,116.0,0.0,8.0,4.0,14.0,107.0,453.0
535.0,199.0,169.0,315.0,4.0,6.0,2.0,7.0,138.0,411.0
0.0,348.0,198.0,304.0,0.0,17.0,2.0,35.0,197.0,367.0
1.0,2.0,198.0,287.0,6.0,4.0,4.0,23.0,271.0,115.0
3.0,483.0,198.0,402.0,7.0,16.0,2.0,23.0,140.0,232.0
472.0,189.0,672.0,159.0,3.0,1.0,2.0,0.0,208.0,196.0
279.0,210.0,197.0,470.0,7.0,7.0,4.0,32.0,257.0,530.0
649.0,23.0,198.0,241.0,6.0,8.0,0.0,7.0,40.0,284.0
429.0,268.0,146.0,279.0,4.0,9.0,2.0,14.0,320.0,31.0
45.0,22.0,198.0,4.0,5.0,9.0,5.0,1.0,104.0,484.0
248.0,119.0,575.0,245.0,0.0,19.0,6.0,14.0,247.0,257.0
0.0,228.0,198.0,257.0,7.0,9.0,0.0,7.0,259.0,472.0
317.0,345.0,198.0,25.0,6.0,5.0,4.0,2.0,155.0,122.0
362.0,337.0,83.0,456.0,5.0,5.0,2.0,1.0,343.0,122.0
256.0,256.0,22.0,431.0,0.0,11.0,8.0,23.0,149.0,24.0
92.0,7.0,198.0,158.0,0.0,11.0,0.0,32.0,203.0,211.0
188.0,344.0,198.0,2.0,2.0,17.0,6.0,14.0,249.0,355.0
519.0,107.0,91.0,175.0,5.0,14.0,2.0,14.0,2.0,205.0
0.0,0.0,198.0,400.0,6.0,5.0,4.0,32.0,173.0,549.0
181.0,172.0,198.0,1.0,7.0,8.0,0.0,14.0,250.0,1.0
210.0,392.0,307.0,534.0,6.0,3.0,2.0,23.0,162.0,160.0
659.0,251.0,135.0,310.0,2.0,9.0,8.0,9.0,88.0,38.0
2.0,182.0,198.0,393.0,5.0,8.0,2.0,9.0,74.0,121.0
157.0,179.0,416.0,190.0,6.0,7.0,2.0,23.0,371.0,97.0
2.0,74.0,198.0,415.0,4.0,5.0,4.0,23.0,215.0,193.0
465.0,401.0,254.0,415.0,2.0,6.0,4.0,23.0,214.0,160.0
502.0,176.0,524.0,210.0,4.0,6.0,2.0,1.0,333.0,91.0
2.0,66.0,198.0,215.0,6.0,5.0,4.0,0.0,172.0,111.0
682.0,340.0,198.0,500.0,5.0,3.0,2.0,0.0,186.0,117.0
65.0,103.0,106.0,513.0,3.0,2.0,4.0,9.0,337.0,318.0
2.0,2.0,198.0,155.0,4.0,7.0,4.0,23.0,113.0,245.0
398.0,524.0,119.0,213.0,6.0,14.0,0.0,35.0,221.0,118.0
28.0,144.0,103.0,224.0,2.0,8.0,5.0,14.0,282.0,24.0
476.0,309.0,194.0,233.0,6.0,17.0,1.0,32.0,142.0,427.0
19.0,28.0,198.0,221.0,5.0,1.0,3.0,32.0,118.0,0.0
647.0,384.0,368.0,339.0,0.0,1.0,3.0,0.0,87.0,328.0
304.0,382.0,413.0,394.0,5.0,19.0,7.0,23.0,89.0,551.0
53.0,13.0,198.0,0.0,7.0,8.0,5.0,7.0,221.0,52.0
662.0,614.0,621.0,317.0,7.0,9.0,4.0,0.0,107.0,437.0
529.0,552.0,648.0,421.0,0.0,17.0,2.0,23.0,153.0,406.0
493.0,9.0,198.0,427.0,5.0,5.0,0.0,23.0,180.0,72.0
579.0,398.0,36.0,288.0,0.0,2.0,2.0,23.0,332.0,179.0
182.0,108.0,322.0,439.0,4.0,11.0,2.0,23.0,215.0,491.0
564.0,263.0,552.0,553.0,6.0,5.0,4.0,2.0,349.0,489.0
474.0,289.0,494.0,406.0,4.0,6.0,2.0,3.0,92.0,242.0
536.0,325.0,371.0,119.0,3.0,19.0,6.0,35.0,256.0,173.0
483.0,218.0,198.0,2.0,6.0,10.0,0.0,35.0,305.0,492.0
589.0,444.0,632.0,495.0,6.0,0.0,2.0,3.0,84.0,326.0
2.0,192.0,198.0,278.0,0.0,9.0,2.0,35.0,361.0,101.0
217.0,212.0,349.0,193.0,6.0,8.0,2.0,0.0,346.0,40.0
622.0,692.0,633.0,118.0,3.0,7.0,5.0,35.0,138.0,198.0
420.0,336.0,240.0,119.0,2.0,7.0,2.0,23.0,250.0,245.0
420.0,284.0,246.0,433.0,6.0,19.0,2.0,14.0,11.0,61.0
95.0,107.0,195.0,156.0,0.0,0.0,3.0,3.0,176.0,83.0
230.0,248.0,87.0,159.0,0.0,12.0,1.0,9.0,186.0,575.0
20.0,17.0,198.0,6.0,5.0,10.0,5.0,14.0,274.0,233.0
644.0,376.0,542.0,261.0,5.0,0.0,2.0,14.0,330.0,246.0
34.0,44.0,198.0,451.0,7.0,2.0,4.0,1.0,332.0,335.0
97.0,110.0,623.0,549.0,3.0,8.0,0.0,1.0,106.0,119.0
663.0,322.0,226.0,323.0,0.0,10.0,2.0,14.0,311.0,116.0
35.0,45.0,198.0,118.0,7.0,4.0,4.0,32.0,327.0,217.0
628.0,401.0,663.0,392.0,3.0,6.0,4.0,9.0,320.0,267.0
1.0,2.0,198.0,354.0,4.0,2.0,4.0,0.0,296.0,177.0
1.0,1.0,198.0,411.0,7.0,5.0,4.0,0.0,280.0,211.0
198.0,314.0,208.0,522.0,0.0,2.0,4.0,9.0,226.0,167.0
612.0,319.0,66.0,404.0,6.0,9.0,2.0,1.0,139.0,108.0
416.0,373.0,198.0,0.0,0.0,6.0,4.0,3.0,361.0,307.0
377.0,294.0,364.0,484.0,7.0,8.0,0.0,3.0,101.0,32.0
115.0,290.0,243.0,343.0,6.0,6.0,0.0,35.0,361.0,263.0
3.0,5.0,198.0,349.0,0.0,1.0,3.0,1.0,241.0,317.0
358.0,303.0,173.0,161.0,0.0,1.0,2.0,1.0,98.0,269.0
280.0,462.0,488.0,333.0,5.0,19.0,6.0,23.0,345.0,338.0
332.0,246.0,274.0,438.0,3.0,7.0,2.0,2.0,247.0,119.0
341.0,463.0,446.0,458.0,4.0,13.0,2.0,35.0,143.0,211.0
68.0,98.0,125.0,9.0,5.0,12.0,5.0,32.0,192.0,70.0
451.0,129.0,98.0,105.0,0.0,6.0,4.0,3.0,113.0,286.0
297.0,303.0,187.0,489.0,3.0,9.0,8.0,1.0,289.0,69.0
451.0,406.0,487.0,258.0,5.0,18.0,6.0,14.0,146.0,160.0
138.0,245.0,450.0,103.0,0.0,8.0,2.0,2.0,318.0,438.0
6.0,8.0,198.0,360.0,4.0,8.0,4.0,7.0,358.0,330.0
189.0,243.0,677.0,380.0,0.0,16.0,2.0,14.0,0.0,224.0
60.0,24.0,4.0,1.0,5.0,17.0,6.0,14.0,201.0,24.0
382.0,515.0,561.0,520.0,5.0,5.0,2.0,32.0,192.0,233.0
2.0,211.0,198.0,440.0,7.0,11.0,5.0,35.0,187.0,410.0
25.0,51.0,198.0,410.0,4.0,9.0,5.0,35.0,355.0,156.0
246.0,306.0,644.0,523.0,7.0,5.0,4.0,1.0,92.0,265.0
509.0,477.0,659.0,441.0,5.0,3.0,2.0,3.0,358.0,106.0
0.0,28.0,198.0,115.0,7.0,7.0,0.0,0.0,161.0,247.0
656.0,428.0,544.0,71.0,5.0,2.0,2.0,3.0,343.0,211.0
315.0,562.0,116.0,551.0,0.0,3.0,2.0,32.0,148.0,335.0
4.0,6.0,198.0,78.0,7.0,1.0,3.0,3.0,322.0,0.0
98.0,108.0,579.0,110.0,6.0,9.0,4.0,23.0,138.0,194.0
107.0,330.0,681.0,509.0,4.0,1.0,4.0,7.0,300.0,7.0
425.0,483.0,18.0,297.0,3.0,12.0,2.0,35.0,15.0,515.0
488.0,317.0,88.0,335.0,1.0,19.0,6.0,9.0,241.0,95.0
450.0,215.0,156.0,242.0,6.0,2.0,2.0,2.0,29.0,490.0
449.0,10.0,198.0,337.0,3.0,9.0,0.0,1.0,310.0,201.0
1.0,131.0,198.0,59.0,5.0,10.0,2.0,32.0,251.0,281.0
19.0,25.0,198.0,84.0,4.0,8.0,4.0,7.0,96.0,102.0
545.0,660.0,458.0,508.0,6.0,7.0,2.0,9.0,318.0,419.0
1.0,601.0,198.0,275.0,0.0,8.0,2.0,1.0,180.0,286.0
669.0,98.0,351.0,107.0,7.0,19.0,6.0,32.0,163.0,349.0
661.0,680.0,399.0,543.0,3.0,17.0,2.0,35.0,5.0,570.0
354.0,397.0,212.0,546.0,6.0,7.0,2.0,1.0,325.0,202.0
1.0,2.0,198.0,278.0,4.0,0.0,3.0,23.0,111.0,63.0
127.0,117.0,398.0,457.0,3.0,10.0,0.0,32.0,275.0,254.0
504.0,17.0,198.0,197.0,7.0,10.0,2.0,23.0,252.0,43.0
481.0,5.0,198.0,449.0,3.0,9.0,0.0,1.0,168.0,86.0
647.0,192.0,198.0,0.0,6.0,9.0,4.0,9.0,213.0,211.0
336.0,487.0,350.0,89.0,6.0,9.0,0.0,3.0,301.0,255.0
512.0,252.0,198.0,7.0,0.0,5.0,4.0,1.0,369.0,54.0
178.0,489.0,461.0,167.0,7.0,1.0,4.0,14.0,240.0,225.0
444.0,280.0,275.0,94.0,5.0,10.0,8.0,32.0,151.0,105.0
590.0,509.0,198.0,3.0,4.0,6.0,4.0,2.0,178.0,126.0
429.0,416.0,318.0,403.0,7.0,18.0,2.0,14.0,339.0,450.0
572.0,629.0,363.0,261.0,0.0,7.0,4.0,9.0,355.0,265.0
114.0,243.0,198.0,27.0,5.0,13.0,5.0,9.0,69.0,222.0
601.0,616.0,371.0,419.0,5.0,11.0,2.0,35.0,223.0,553.0
2.0,3.0,198.0,499.0,6.0,3.0,4.0,1.0,313.0,398.0
109.0,355.0,597.0,234.0,0.0,19.0,2.0,23.0,174.0,110.0
466.0,464.0,359.0,190.0,0.0,8.0,4.0,14.0,104.0,211.0
547.0,103.0,347.0,121.0,6.0,7.0,2.0,9.0,180.0,555.0
1.0,2.0,198.0,286.0,4.0,3.0,3.0,35.0,165.0,278.0
448.0,14.0,198.0,504.0,7.0,18.0,6.0,32.0,144.0,64.0
0.0,1.0,198.0,446.0,7.0,7.0,4.0,2.0,237.0,252.0
316.0,379.0,287.0,100.0,5.0,19.0,6.0,35.0,232.0,19.0
569.0,424.0,353.0,488.0,6.0,9.0,2.0,1.0,281.0,183.0
8.0,10.0,198.0,116.0,7.0,2.0,4.0,32.0,85.0,197.0
470.0,664.0,557.0,203.0,5.0,15.0,2.0,32.0,243.0,455.0
12.0,195.0,135.0,153.0,7.0,9.0,5.0,28.0,248.0,205.0
669.0,25.0,198.0,433.0,6.0,11.0,0.0,9.0,118.0,227.0
58.0,76.0,56.0,278.0,4.0,0.0,4.0,2.0,368.0,591.0
608.0,691.0,66.0,195.0,3.0,10.0,8.0,23.0,154.0,67.0
480.0,460.0,625.0,376.0,0.0,4.0,2.0,7.0,359.0,256.0
462.0,184.0,318.0,500.0,7.0,8.0,8.0,35.0,306.0,286.0
153.0,326.0,231.0,67.0,7.0,4.0,2.0,7.0,290.0,384.0
634.0,203.0,559.0,98.0,4.0,8.0,2.0,23.0,141.0,333.0
153.0,710.0,500.0,307.0,4.0,8.0,5.0,29.0,40.0,30.0
144.0,0.0,198.0,379.0,6.0,17.0,6.0,35.0,152.0,142.0
26.0,33.0,198.0,481.0,5.0,2.0,4.0,32.0,145.0,158.0
655.0,165.0,198.0,6.0,7.0,7.0,5.0,9.0,215.0,484.0
550.0,135.0,324.0,460.0,6.0,6.0,2.0,9.0,233.0,90.0
495.0,216.0,506.0,85.0,0.0,9.0,2.0,0.0,40.0,31.0
6.0,118.0,54.0,219.0,7.0,5.0,4.0,23.0,116.0,43.0
13.0,17.0,198.0,233.0,0.0,5.0,4.0,23.0,310.0,155.0
368.0,228.0,264.0,546.0,3.0,9.0,2.0,23.0,113.0,211.0
439.0,378.0,512.0,501.0,0.0,19.0,2.0,35.0,247.0,545.0
567.0,207.0,171.0,372.0,0.0,10.0,8.0,35.0,194.0,410.0
257.0,8.0,198.0,390.0,0.0,9.0,0.0,13.0,296.0,62.0
283.0,135.0,190.0,248.0,0.0,6.0,2.0,7.0,188.0,155.0
305.0,298.0,198.0,1.0,0.0,8.0,4.0,3.0,109.0,32.0
311.0,336.0,485.0,481.0,1.0,19.0,6.0,14.0,172.0,340.0
355.0,306.0,261.0,416.0,4.0,1.0,2.0,14.0,176.0,224.0
47.0,44.0,5.0,464.0,6.0,7.0,0.0,32.0,359.0,257.0
139.0,154.0,586.0,427.0,5.0,7.0,4.0,0.0,264.0,266.0
499.0,199.0,198.0,0.0,3.0,9.0,0.0,0.0,170.0,131.0
501.0,277.0,276.0,215.0,2.0,9.0,8.0,23.0,292.0,0.0
239.0,133.0,198.0,2.0,0.0,11.0,5.0,9.0,218.0,255.0
349.0,438.0,645.0,186.0,4.0,9.0,0.0,2.0,344.0,296.0
0.0,0.0,198.0,85.0,4.0,9.0,4.0,1.0,151.0,292.0
424.0,103.0,122.0,551.0,0.0,4.0,2.0,3.0,128.0,411.0
103.0,306.0,308.0,498.0,0.0,0.0,2.0,14.0,166.0,265.0
1.0,1.0,198.0,5.0,7.0,6.0,4.0,14.0,156.0,255.0
421.0,447.0,672.0,477.0,0.0,8.0,4.0,0.0,298.0,337.0
116.0,106.0,543.0,351.0,2.0,11.0,8.0,14.0,171.0,88.0
683.0,157.0,198.0,1.0,2.0,18.0,6.0,35.0,318.0,612.0
666.0,133.0,509.0,407.0,0.0,15.0,2.0,32.0,248.0,2.0
136.0,487.0,329.0,173.0,6.0,17.0,2.0,32.0,187.0,431.0
431.0,370.0,217.0,373.0,5.0,3.0,4.0,3.0,225.0,590.0
502.0,226.0,643.0,465.0,0.0,8.0,8.0,2.0,330.0,26.0
399.0,112.0,47.0,337.0,6.0,7.0,0.0,7.0,126.0,348.0
229.0,114.0,224.0,103.0,3.0,9.0,2.0,9.0,72.0,54.0
6.0,8.0,198.0,253.0,5.0,4.0,4.0,3.0,148.0,397.0
371.0,10.0,198.0,296.0,4.0,17.0,6.0,9.0,335.0,80.0
270.0,96.0,34.0,479.0,4.0,3.0,2.0,35.0,95.0,438.0
147.0,377.0,629.0,436.0,0.0,5.0,4.0,35.0,178.0,559.0
8.0,10.0,198.0,302.0,4.0,3.0,4.0,0.0,212.0,414.0
118.0,282.0,198.0,15.0,2.0,9.0,0.0,1.0,135.0,555.0
