title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,Production Cost,release_year
DS Dengeki Bunko  Inukami  feat. Animation,DS,Adventure,Sony Computer Entertainment,7.0,7.0,8.0,50.0,3.69,3.35,1.68,6.45,15.17,3.18,2006
Iggle Pop ,PC,Puzzle,Activision,5.0,1.0,8.0,42.0,4.75,3.45,4.13,6.71,19.04,3.0,2004
Tayutama  Its Happy Days,PC,Adventure,Frontier Developments,7.0,4.0,2.0,46.0,3.18,4.99,5.33,2.79,16.29,4.6,2009
Sensible Soccer 2006,PS2,Sports,Activision,2.0,1.0,2.0,141.0,4.68,3.28,2.98,5.71,16.65,4.95,2006
Hayarigami  Keishichou Kaii Jiken File,PS2,Adventure,IBM,10.0,7.0,7.0,72.0,1.67,3.43,3.7,4.18,12.98,4.44,2004
Spy Chameleon   RGB Agent,PC,Puzzle,Sony Computer Entertainment,9.0,3.0,2.0,51.0,3.24,5.32,1.02,5.71,15.29,1.36,2014
My Boyfriend,DS,Simulation,Electronic Arts,10.0,6.0,10.0,118.0,3.0,0.1,3.17,4.11,7.49,2.32,2009
NBA 08,PS2,Sports,IBM,10.0,8.0,2.0,17.0,3.0,0.06,3.81,0.05,4.05,2.89,2007
Samantha Swift and the Hidden Roses of Athena,PC,Adventure,IBM,8.0,1.0,8.3,126.0,6.26,1.09,5.05,6.92,19.32,1.01,2008
Marvels Guardians of the Galaxy  The Telltale Series,PS4,Adventure,Activision,8.0,2.0,8.0,7.0,3.0,0.06,1.07,0.04,1.29,5.19,2017
My Dream Job  Babysitter,PC,Simulation,IBM,6.0,8.0,10.0,135.0,5.95,4.2,4.07,6.69,20.91,6.74,2008
Harry Potter and the Order of the Phoenix,DS,Adventure,Omega,3.0,3.0,4.0,213.0,3.0,0.28,2.22,0.46,3.8,0.02,2007
Stacking,PC,Puzzle,Ubisoft,10.0,9.0,1.0,0.25,1.18,4.92,3.42,4.41,13.93,6.14,2012
Durarara   3 way Standoff,PSN,Adventure,Activision,9.0,1.0,7.0,183.0,2.97,3.37,3.72,1.64,11.7,5.82,2010
Battlefield V,PS4,Shooter,Electronic Arts,9.0,2.0,9.0,155.0,2.22,0.8,0.16,0.93,4.11,0.02,2018
Tiger Woods PGA Tour 07,PS2,Sports,Frontier Developments,6.0,7.8,2.0,294.0,3.0,0.6,1.17,0.02,2.51,2.97,2006
DiRT Rally,PS4,Racing,Ubisoft,8.0,1.0,8.0,78.0,3.0,0.13,2.24,0.3,3.18,2.5,2016
Operation Flashpoint  Dragon Rising,PC,Shooter,Frontier Developments,2.0,7.6,5.0,221.0,3.0,0.03,4.48,0.03,4.61,1.73,2009
Written Legends  Nightmare at Sea,PC,Puzzle,Ubisoft,8.0,3.0,1.0,40.0,6.98,3.46,5.39,3.53,19.36,1.62,2013
NBA Live 2001,PS2,Sports,Activision,10.0,10.0,1.0,192.0,1.1,0.52,0.04,0.4,2.06,1.91,2001
Nuclear Strike,PSN,Simulation,Electronic Arts,1.0,8.0,4.0,102.0,1.79,1.23,2.88,1.35,7.25,5.19,2009
Polar Panic,PSN,Puzzle,Amazon Game Studios,3.0,5.0,3.0,2.0,5.44,1.4,4.91,6.19,17.94,5.58,2009
Killzone 2  Flash & Thunder Pack,PSN,Shooter,Frontier Developments,6.0,4.0,3.0,36.0,5.37,4.2,1.41,2.07,13.05,3.21,2009
Global Touring Challenge  Africa,PS2,Racing,Frontier Developments,5.0,1.0,7.0,5.0,3.0,0.05,2.65,0.04,2.84,5.06,2002
Fight Night Champion,PSN,Sports,Frontier Developments,10.0,8.2,5.0,205.0,2.95,3.58,2.62,6.59,15.74,6.73,2011
F 22 Air Dominance Fighter,PC,Simulation,Ubisoft,8.0,6.0,10.0,38.0,5.25,2.85,1.23,2.36,11.69,4.76,2012
Army Men  Sarges War,PC,Shooter,Omega,10.0,9.0,7.0,221.0,7.97,1.98,5.25,6.67,21.87,0.03,2004
Pinball Heroes  Uncharted,PSN,Puzzle,IBM,8.0,9.0,10.0,26.0,3.29,5.4,1.85,2.46,13.0,6.21,2009
Jewel Quest Mysteries 2  Trail of the Midnight Heart,DS,Puzzle,Activision,8.0,8.0,1.0,265.0,3.0,4.35,5.44,0.04,9.87,5.61,2011
Strike Force Bowling,PS2,Sports,Sony Computer Entertainment,7.0,10.0,1.0,51.0,3.0,0.3,1.83,0.24,2.99,2.43,2004
Guilty Gear XX Accent Core,PS2,Fighting,Activision,4.0,8.0,9.0,24.0,3.0,3.81,0.04,5.36,9.25,5.77,2007
Gummy Bears Mini Golf,DS,Sports,Frontier Developments,9.0,5.0,6.0,177.0,3.0,0.04,2.57,2.3,4.96,3.38,2010
Pro Yakyuu Spirits 6,PS3,Sports,Amazon Game Studios,6.0,6.0,9.0,54.0,3.0,1.05,0.15,6.82,8.17,2.88,2009
Dancing Eyes,PSN,Puzzle,Sony Computer Entertainment,4.0,2.0,3.0,113.0,5.28,3.95,5.6,5.75,20.58,5.95,2007
NBA 2K17,PC,Sports,Frontier Developments,10.0,6.0,2.0,244.0,3.0,2.36,2.8,0.03,5.22,6.56,2016
FIFA Soccer 2002,PC,Sports,Activision,6.0,5.0,1.0,162.0,1.35,4.45,5.86,2.11,13.77,3.0,2001
Duke Nukem Trilogy  Chain Reaction,DS,Shooter,Electronic Arts,8.0,10.0,4.0,141.0,3.04,4.73,5.74,5.85,19.36,3.31,2019
National Geographic Panda (US sales),DS,Simulation,Omega,4.0,7.0,1.0,100.0,3.0,0.04,1.77,6.76,8.61,6.34,2008
Fight Night 2004,PS2,Fighting,Sony Computer Entertainment,6.0,9.0,10.0,240.0,1.48,1.08,4.22,0.2,6.98,6.76,2004
Mystery Tales of Time Travel,DS,Puzzle,Electronic Arts,9.0,7.0,1.0,16.0,3.0,0.01,5.65,0.15,6.0,4.42,2010
Konohana 4  Yami wo Harau Inori,PS2,Adventure,Omega,3.0,3.0,3.0,71.0,3.07,2.33,3.1,6.62,15.12,4.73,2004
The Occupation,PS4,Adventure,Sony Computer Entertainment,7.0,4.0,5.0,134.0,5.82,2.38,3.43,4.22,15.85,3.0,2019
Worldwide Soccer Manager 2006,PC,Sports,Sony Computer Entertainment,4.0,9.0,8.0,0.63,5.28,7.17,5.22,1.1,18.77,4.13,2005
RayStorm,PSN,Shooter,Omega,4.0,1.0,10.0,75.0,4.65,5.8,2.21,3.53,16.19,3.64,2008
WarDevil  Enigma,PS3,Shooter,Activision,3.0,9.0,4.0,132.0,4.11,7.08,4.66,6.01,21.86,5.43,2002
Blood  The Last Vampire (Joukan),PS2,Adventure,Activision,8.0,5.0,9.0,189.0,3.0,3.85,0.09,3.91,7.94,1.14,2000
Port Royale 3,PC,Simulation,Activision,9.0,7.0,9.0,0.2,4.48,3.73,2.86,4.73,15.8,4.43,2012
Harvest Moon DS Cute (US sales),DS,Simulation,Sony Computer Entertainment,8.0,4.0,9.0,6.0,3.0,0.28,1.96,5.44,7.96,1.71,2008
Family Guy,PS2,Adventure,Frontier Developments,1.0,7.0,1.0,172.0,4.03,2.22,2.46,5.89,14.6,3.62,2006
Neon Wars,PC,Shooter,Activision,1.0,5.0,7.0,146.0,1.42,2.01,3.29,4.6,11.32,5.62,2007
428  Fuusa Sareta Shibuya de,PS3,Adventure,Omega,4.0,9.0,7.0,96.0,3.0,7.8,0.02,2.71,10.55,4.22,2009
Prince of Persia  The Sands of Time,PS2,Adventure,Ubisoft,7.0,9.0,9.1,24.0,2.22,0.88,5.06,1.03,9.19,2.21,2003
Puyo Puyo 7,DS,Puzzle,IBM,7.0,5.0,9.0,0.19,7.67,3.64,4.59,1.84,17.74,5.94,2009
The Snow Queen Quest,PC,Adventure,Ubisoft,1.0,3.0,2.0,195.0,1.15,2.49,5.86,6.74,16.24,5.01,2007
Streak  Hoverboard Racing,PSN,Racing,Sony Computer Entertainment,8.0,3.0,5.0,26.0,5.21,2.16,1.5,2.35,11.22,5.84,2010
Think  Train Your Brain,DS,Puzzle,Frontier Developments,9.0,4.0,4.0,269.0,7.14,2.36,4.11,6.18,19.79,1.76,2009
Lost Planet  Extreme Condition Colonies Edition,PC,Shooter,Ubisoft,5.0,7.8,5.0,146.0,3.88,2.11,3.97,4.32,14.28,6.42,2008
Damage Inc.  Pacific Squadron WWII,PS3,Simulation,Frontier Developments,8.0,4.0,7.0,112.0,5.0,3.04,5.73,5.27,19.04,4.76,2012
Cars 2,PS3,Racing,Activision,9.0,7.5,8.0,1.0,3.0,0.22,1.72,0.22,2.68,1.51,2011
Smugglers Run,PS2,Racing,IBM,3.0,3.0,2.0,297.0,1.56,0.77,3.23,0.6,6.16,7.31,2000
Dig Dug  Digging Strike,DS,Puzzle,Activision,1.0,1.0,7.0,290.0,3.0,0.05,4.73,5.98,10.82,2.8,2005
Worldwide Boxing Manager,PC,Sports,Electronic Arts,5.0,2.0,10.0,41.0,1.39,4.59,3.89,6.55,16.42,7.71,2007
Bugsnax,PS4,Adventure,Amazon Game Studios,6.0,7.0,4.0,37.0,7.78,7.08,3.55,2.76,21.17,4.87,2020
Mystery P.I.  The Vegas Heist,PC,Puzzle,Frontier Developments,6.0,9.0,9.0,34.0,7.17,3.25,5.67,5.85,21.94,4.61,2009
Metroid Prime Hunters,DS,Shooter,Sony Computer Entertainment,7.0,8.4,6.0,1.08,3.95,2.03,5.43,2.35,13.76,4.49,2006
Dreamer Series  Puppy Trainer,DS,Simulation,Sony Computer Entertainment,7.0,8.0,7.0,173.0,3.0,0.05,3.53,4.62,8.25,4.33,2008
Lost Identities,DS,Adventure,IBM,6.0,5.0,8.0,72.0,3.0,1.32,1.86,0.01,3.2,3.95,2011
Ochaken no Daibouken 2  Yume Ippai no Omocha Hako,DS,Simulation,IBM,6.0,2.0,10.0,226.0,3.0,1.5,0.01,6.36,7.88,2.8,2008
Tom Clancys Splinter Cell Essentials,PSN,Shooter,Ubisoft,7.0,4.0,3.0,221.0,3.73,2.72,5.62,3.41,15.48,2.72,2009
TrackMania Nations  Electronic Sports World Cup,PC,Racing,Ubisoft,9.0,7.0,1.0,29.0,7.57,3.36,3.67,4.81,19.41,1.99,2006
SD Gundam Eiyuden Daikessen   Knight vs Musha,PS,Fighting,Activision,6.0,1.0,10.0,217.0,7.42,1.24,4.72,5.99,19.37,3.71,2001
Keiki J.B. Harold Jikenbo  Manhattan Requiem & Kiss of Murder,DS,Adventure,Sony Computer Entertainment,5.0,4.0,5.0,270.0,5.36,1.65,1.3,6.28,14.59,3.06,2008
