title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,Production Cost,release_year
Beyond the Future  Fix the Time Arrows,PS3,Adventure,Ubisoft,10.0,7.0,8.0,30.0,5.32,3.81,3.75,1.06,2.22,2011.0
DiRT 4,PC,Racing,Frontier Developments,8.0,8.0,5.5,236.0,3.0,3.67,2.52,0.01,0.02,2017.0
Richard Burns Rally,PS2,Racing,Omega,1.0,5.0,8.0,256.0,3.07,2.15,5.21,1.12,3.41,2004.0
Bejeweled 2 Deluxe,PC,Puzzle,Amazon Game Studios,10.0,5.0,3.0,115.0,3.0,4.36,4.2,0.02,3.0,2006.0
NBA 2K14,PC,Sports,Frontier Developments,10.0,7.0,3.0,72.0,3.11,1.81,4.31,6.28,5.69,2013.0
Five Nights at Freddys 3,PC,Simulation,Electronic Arts,10.0,9.0,1.0,300.0,2.09,6.61,2.71,2.88,1.76,2015.0
Boxing Champions,PS2,Fighting,Electronic Arts,2.0,10.0,9.0,236.0,5.02,3.41,2.83,6.07,3.93,2003.0
Syberia II,PS2,Adventure,Ubisoft,5.0,7.0,7.0,107.0,4.67,2.15,5.04,4.04,6.77,2004.0
Super Fruit Fall (Minis),PSN,Puzzle,Activision,10.0,2.0,2.0,7.0,1.69,6.07,5.22,4.58,2.7,2010.0
Harry Potter and the Order of the Phoenix,DS,Adventure,Omega,3.0,3.0,4.0,213.0,3.0,0.28,2.22,0.46,0.02,2007.0
Rubiks World,DS,Puzzle,Activision,5.0,5.0,5.0,60.0,3.0,0.1,5.7,0.01,4.1,2008.0
Jikkyou Powerful Pro Yakyuu 11 Chou Ketteiban,PS2,Sports,Frontier Developments,6.0,7.0,2.0,298.0,4.86,1.37,2.33,4.28,2.85,2004.0
Undercover  Operation Wintersun,PC,Adventure,Frontier Developments,10.0,8.0,6.0,72.0,4.44,4.43,4.33,1.53,4.8,2007.0
Handball 16,PS3,Sports,Activision,9.0,3.0,1.0,228.0,3.0,4.09,1.95,0.03,5.79,2015.0
Star Defender 2,PC,Shooter,Omega,2.0,8.0,5.0,98.0,4.84,2.93,5.04,4.18,3.59,2005.0
Sega Ages 2500 Series Vol. 25  Gunstar Heroes Treasure Box,PS2,Shooter,Sony Computer Entertainment,8.0,1.0,7.0,136.0,3.7,7.52,4.81,6.79,6.63,2006.0
Tony Hawks Pro Skater 4,PC,Sports,Electronic Arts,9.0,2.0,2.0,161.0,3.32,3.15,3.67,2.87,3.0,2003.0
Winning Post 7 2012,PC,Sports,Amazon Game Studios,10.0,10.0,4.0,4.0,6.51,4.03,5.99,5.98,5.95,2012.0
Aquatopia™,PSN,Simulation,Electronic Arts,1.0,9.0,10.0,125.0,7.08,6.86,5.25,4.51,6.57,2007.0
Fight Night Champion,PSN,Sports,Frontier Developments,10.0,8.2,5.0,205.0,2.95,3.58,2.62,6.59,6.73,2011.0
Littlest Pet Shop  Jungle,DS,Simulation,Electronic Arts,10.0,2.0,7.0,41.0,3.0,0.34,1.16,0.2,5.13,2008.0
Chime Super Deluxe,PSN,Puzzle,Electronic Arts,8.0,7.6,6.0,239.0,2.76,6.37,1.28,2.49,4.07,2011.0
Dragon Ball Z  Budokai Tenkaichi 2,PS2,Fighting,Amazon Game Studios,6.0,3.0,9.0,1.65,6.33,4.55,1.59,3.39,1.52,2006.0
Ace Combat  Joint Assault,PSN,Simulation,Frontier Developments,6.0,6.9,10.0,180.0,1.57,4.12,5.7,3.65,2.22,2010.0
Aquanauts Holiday  Kakusareta Kiroku,PS3,Adventure,Ubisoft,3.0,9.0,7.0,83.0,3.0,4.25,0.04,2.83,3.27,2008.0
Bakegyamon  Ayakashi Fighting,DS,Fighting,Frontier Developments,3.0,7.0,7.0,265.0,6.06,4.26,2.37,4.86,4.6,2007.0
Jet de Go   Lets Go By Airliner,PS,Simulation,Amazon Game Studios,8.0,5.0,7.0,202.0,1.83,2.93,5.34,6.32,7.2,2000.0
Dead Mountaineers Hotel,PC,Adventure,Sony Computer Entertainment,10.0,6.0,8.0,107.0,6.82,2.06,1.85,3.49,1.69,2007.0
Bejeweled 2,PSN,Puzzle,Sony Computer Entertainment,3.0,6.0,1.0,63.0,4.37,7.13,2.93,2.51,5.69,2009.0
Hallowed Legends  Samhain,PC,Adventure,Sony Computer Entertainment,10.0,1.0,7.0,246.0,3.0,3.53,3.24,0.03,1.74,2011.0
Madden NFL 2002,PC,Sports,Electronic Arts,10.0,3.0,2.0,113.0,4.3,3.25,5.94,4.26,1.01,2001.0
Warship Gunner 2,PS2,Simulation,Amazon Game Studios,6.0,3.0,4.0,193.0,3.0,0.01,2.81,0.01,4.4,2006.0
Monster Trucks DS,DS,Racing,Omega,4.0,3.0,6.0,225.0,3.0,0.07,5.42,5.49,5.48,2005.0
Diner Dash  Flo on the Go,DS,Puzzle,Amazon Game Studios,1.0,1.0,2.0,238.0,3.0,0.13,4.06,6.54,2.6,2009.0
TOCA Race Driver 3  The Ultimate Racing Simulator,PS2,Racing,Omega,3.0,2.0,10.0,119.0,3.0,0.04,4.28,0.03,3.57,2006.0
Mobile Suit Gundam Seed,PS2,Simulation,Activision,9.0,7.0,2.0,30.0,3.0,3.99,0.22,2.43,4.51,2003.0
Tale of a Hero,PC,Adventure,Omega,6.0,1.0,9.0,96.0,3.0,1.27,1.47,0.02,2.22,2010.0
Chicken Run,PC,Adventure,Sony Computer Entertainment,5.0,5.0,9.0,261.0,3.13,1.66,3.1,6.5,1.94,2001.0
Polar Panic,PSN,Puzzle,Amazon Game Studios,3.0,5.0,3.0,2.0,5.44,1.4,4.91,6.19,5.58,2009.0
Back to the Future  The Game   Episode IV  Double Visions,PSN,Adventure,Electronic Arts,7.0,4.0,1.0,93.0,2.9,5.27,1.16,1.54,3.51,2011.0
Alien Breed 3  Descent,PC,Shooter,Activision,6.0,6.8,9.0,233.0,6.98,4.77,1.31,1.39,1.01,2010.0
Tantei Gakuen Q,PS2,Adventure,Ubisoft,4.0,4.0,2.0,37.0,4.73,2.31,3.46,5.85,3.53,2003.0
European Super League,PC,Sports,Sony Computer Entertainment,5.0,7.0,3.0,92.0,6.29,3.83,4.23,6.27,5.62,2001.0
Plants vs Zombies  Garden Warfare,PC,Shooter,Electronic Arts,6.0,8.0,10.0,110.0,3.0,2.82,2.42,0.02,5.03,2014.0
Foto Frenzy  Spot The Diffrence,DS,Puzzle,Activision,8.0,3.0,7.0,230.0,3.0,0.29,5.74,6.19,0.01,2009.0
Karimogi,PSN,Puzzle,Ubisoft,7.0,2.0,4.0,82.0,5.5,1.83,4.67,3.09,1.23,2011.0
Boku wa Koukuu Kanseikan 3  Onikawa Blue Corridor   Fukkoku Fanservice Han,PC,Simulation,Electronic Arts,3.0,8.0,3.0,166.0,6.79,7.57,5.03,5.04,6.93,2009.0
Medal of Honor  Airborne,PS3,Shooter,Electronic Arts,10.0,6.0,5.0,229.0,1.21,0.25,0.03,0.7,5.71,2007.0
NBA In The Zone 2000,PS,Sports,Electronic Arts,4.0,3.0,1.0,20.0,3.0,0.12,4.99,0.08,0.01,2000.0
Ratchet  Deadlocked,PS2,Shooter,Amazon Game Studios,3.0,8.0,3.0,120.0,1.24,0.85,0.22,0.03,2.32,2005.0
Ashita no Joe 2  The Anime Super Remix,PS2,Fighting,IBM,2.0,8.0,8.0,100.0,3.0,2.43,0.01,6.77,1.35,2002.0
WipEout Fusion,PS2,Racing,Electronic Arts,10.0,1.0,4.0,218.0,3.0,0.12,4.36,0.1,5.76,2002.0
Wacky Races starring Dastardly & Muttley,PS2,Racing,Electronic Arts,4.0,5.0,5.0,71.0,4.59,1.25,3.98,4.92,1.38,2001.0
Flanker 2.5,PC,Simulation,Ubisoft,4.0,5.0,6.0,41.0,7.44,3.49,4.85,5.8,0.01,2002.0
True Swing Golf,DS,Sports,IBM,9.0,4.0,3.0,252.0,3.0,0.11,0.04,3.47,3.96,2006.0
Seaman  Kanzenban,PS2,Simulation,Amazon Game Studios,8.0,1.0,1.0,168.0,4.88,2.69,3.42,6.55,1.98,2003.0
Petz Bunnyz Bunch,DS,Simulation,Ubisoft,7.0,6.0,9.0,154.0,3.0,0.05,5.45,4.81,4.32,2011.0
Super Fruit Fall,PS2,Puzzle,Sony Computer Entertainment,1.0,9.0,7.0,243.0,2.42,5.95,3.13,5.46,1.17,2006.0
Simple Characters 2000 Series Vol. 16  Ganba no Bouken  The Puzzle Action,PS,Puzzle,Electronic Arts,9.0,6.0,8.0,198.0,6.89,2.12,4.45,2.46,2.27,2003.0
David Douillet Judo,PC,Fighting,Electronic Arts,2.0,2.0,6.0,27.0,5.02,3.92,1.14,3.42,5.97,2007.0
SnowRunner,PC,Simulation,IBM,9.0,4.0,5.0,8.0,7.2,2.53,4.31,1.39,2.51,2019.0
Really? Really ,PC,Adventure,Amazon Game Studios,9.0,1.0,5.0,279.0,5.5,3.73,2.82,6.21,5.86,2006.0
Creatures  The Albian Years,PC,Simulation,IBM,6.0,5.0,2.0,1.0,6.92,2.61,4.61,2.42,1.6,2004.0
Gin no Eclipse,PS2,Adventure,Frontier Developments,7.0,2.0,10.0,36.0,1.11,4.07,1.61,5.64,5.49,2008.0
